Epoch 0/100: train_loss=122.1810, val_loss=10.9968
Epoch 1/100: train_loss=61.1643, val_loss=9.9706
Epoch 2/100: train_loss=47.0844, val_loss=10.0267
Epoch 3/100: train_loss=39.9325, val_loss=9.8392
Epoch 4/100: train_loss=34.0541, val_loss=9.8537
Epoch 5/100: train_loss=29.8259, val_loss=11.0490
Epoch 6/100: train_loss=27.0290, val_loss=12.9340
Epoch 7/100: train_loss=25.3862, val_loss=15.5016
Epoch 8/100: train_loss=24.4183, val_loss=18.0655
Epoch 9/100: train_loss=23.1455, val_loss=15.6167
Epoch 10/100: train_loss=21.9213, val_loss=15.8886
Epoch 11/100: train_loss=21.6182, val_loss=15.5819
Epoch 12/100: train_loss=21.4335, val_loss=15.6733
Epoch 13/100: train_loss=21.3036, val_loss=16.3362
Epoch 14/100: train_loss=21.2670, val_loss=17.0939
Epoch 15/100: train_loss=21.1136, val_loss=17.1480
Epoch 16/100: train_loss=20.8840, val_loss=12.0285
Epoch 17/100: train_loss=18.2591, val_loss=9.5243
Epoch 18/100: train_loss=17.1671, val_loss=8.6414
Epoch 19/100: train_loss=16.7463, val_loss=8.7533
Epoch 20/100: train_loss=16.4509, val_loss=8.8876
Epoch 21/100: train_loss=16.2123, val_loss=8.6947
Epoch 22/100: train_loss=16.0025, val_loss=8.6855
Epoch 23/100: train_loss=15.8137, val_loss=8.6832
Epoch 24/100: train_loss=15.6873, val_loss=8.7354
Epoch 25/100: train_loss=15.4767, val_loss=8.6770
Epoch 26/100: train_loss=15.4261, val_loss=8.5783
Epoch 27/100: train_loss=15.3502, val_loss=8.6100
Epoch 28/100: train_loss=15.2947, val_loss=8.5030
Epoch 29/100: train_loss=15.2552, val_loss=8.7079
Epoch 30/100: train_loss=15.1983, val_loss=8.6151
Epoch 31/100: train_loss=15.1347, val_loss=8.5504
Epoch 32/100: train_loss=15.0938, val_loss=8.5145
Epoch 33/100: train_loss=15.0581, val_loss=8.5795
Epoch 34/100: train_loss=15.0030, val_loss=8.5203
Epoch 35/100: train_loss=14.9493, val_loss=8.5320
Epoch 36/100: train_loss=14.9119, val_loss=8.4668
Epoch 37/100: train_loss=14.9026, val_loss=8.4456
Epoch 38/100: train_loss=14.8903, val_loss=8.5091
Epoch 39/100: train_loss=14.8613, val_loss=8.5249
Epoch 40/100: train_loss=14.8516, val_loss=8.4903
Epoch 41/100: train_loss=14.8274, val_loss=8.4779
Epoch 42/100: train_loss=14.8133, val_loss=8.4143
Epoch 43/100: train_loss=14.7916, val_loss=8.4810
Epoch 44/100: train_loss=14.7876, val_loss=8.4428
Epoch 45/100: train_loss=14.7989, val_loss=8.4049
Epoch 46/100: train_loss=14.7759, val_loss=8.4245
Epoch 47/100: train_loss=14.7493, val_loss=8.4032
Epoch 48/100: train_loss=14.7467, val_loss=8.4290
Epoch 49/100: train_loss=14.7122, val_loss=8.3944
Epoch 50/100: train_loss=14.7300, val_loss=8.4683
Epoch 51/100: train_loss=14.7232, val_loss=8.4480
Epoch 52/100: train_loss=14.7103, val_loss=8.4035
Epoch 53/100: train_loss=14.7018, val_loss=8.3778
Epoch 54/100: train_loss=14.6743, val_loss=8.3620
Epoch 55/100: train_loss=14.6854, val_loss=8.4835
Epoch 56/100: train_loss=14.6735, val_loss=8.3013
Epoch 57/100: train_loss=14.6677, val_loss=8.3502
Epoch 58/100: train_loss=14.6379, val_loss=8.3611
Epoch 59/100: train_loss=14.6294, val_loss=8.3851
Epoch 60/100: train_loss=14.6342, val_loss=8.3873
Epoch 61/100: train_loss=14.6495, val_loss=8.3516
Epoch 62/100: train_loss=14.6407, val_loss=8.3777
Epoch 63/100: train_loss=14.5863, val_loss=8.3960
Epoch 64/100: train_loss=14.5922, val_loss=8.3378
Epoch 65/100: train_loss=14.6003, val_loss=8.2845
Epoch 66/100: train_loss=14.5815, val_loss=8.3372
Epoch 67/100: train_loss=14.5727, val_loss=8.2651
Epoch 68/100: train_loss=14.5771, val_loss=8.3333
Epoch 69/100: train_loss=14.5616, val_loss=8.3157
Epoch 70/100: train_loss=14.5690, val_loss=8.3547
Epoch 71/100: train_loss=14.5611, val_loss=8.3615
Epoch 72/100: train_loss=14.5557, val_loss=8.3017
Epoch 73/100: train_loss=14.5596, val_loss=8.3208
Epoch 74/100: train_loss=14.5364, val_loss=8.2916
Epoch 75/100: train_loss=14.5376, val_loss=8.3235
Epoch 76/100: train_loss=14.5262, val_loss=8.3238
Epoch 77/100: train_loss=14.5285, val_loss=8.3164
Epoch 78/100: train_loss=14.5442, val_loss=8.2651
Epoch 79/100: train_loss=14.5484, val_loss=8.3215
Epoch 80/100: train_loss=14.5444, val_loss=8.2678
Epoch 81/100: train_loss=14.5342, val_loss=8.3172
Epoch 82/100: train_loss=14.5448, val_loss=8.3079
