Epoch 0/100: train_loss=113.2798, val_loss=11.8214
Epoch 1/100: train_loss=64.7812, val_loss=11.3465
Epoch 2/100: train_loss=51.4002, val_loss=10.3101
Epoch 3/100: train_loss=43.1107, val_loss=10.5274
Epoch 4/100: train_loss=36.7417, val_loss=11.2233
Epoch 5/100: train_loss=33.4520, val_loss=12.8203
Epoch 6/100: train_loss=32.4582, val_loss=14.2817
Epoch 7/100: train_loss=31.8502, val_loss=15.6796
Epoch 8/100: train_loss=31.3611, val_loss=16.3799
Epoch 9/100: train_loss=30.8404, val_loss=16.6779
Epoch 10/100: train_loss=30.8100, val_loss=16.5678
Epoch 11/100: train_loss=30.7028, val_loss=17.0491
Epoch 12/100: train_loss=30.7057, val_loss=16.6858
Epoch 13/100: train_loss=30.6631, val_loss=16.8477
Epoch 14/100: train_loss=30.6319, val_loss=16.7734
Epoch 15/100: train_loss=30.4182, val_loss=16.7612
Epoch 16/100: train_loss=30.3749, val_loss=16.7208
Epoch 17/100: train_loss=30.3592, val_loss=16.7402
