[2025-10-22 22:09:37] ✓ Loaded normalization parameters from metadata
[2025-10-22 22:09:37]   Type: minmax
[2025-10-22 22:09:37]   Feature range: [0.0000, 5.9859] (min)
[2025-10-22 22:09:37]   Feature range: [9.3461, 100.0000] (range)
[2025-10-22 22:09:41] Train batches: 18368
[2025-10-22 22:09:41] Val batches: 2296
[2025-10-22 22:09:41] Test batches: 2296
[2025-10-22 22:09:41] Model created: 134,497 parameters
[2025-10-22 22:09:41] ======================================================================
[2025-10-22 22:09:41] Starting training
[2025-10-22 22:09:41] ======================================================================
[2025-10-22 22:09:42] Epoch 0 [100/18368] Power Loss: 32.8793
[2025-10-22 22:09:42] Epoch 0 [200/18368] Power Loss: 22.2049
[2025-10-22 22:09:43] Epoch 0 [300/18368] Power Loss: 18.3536
[2025-10-22 22:09:43] Epoch 0 [400/18368] Power Loss: 16.3677
[2025-10-22 22:09:43] Epoch 0 [500/18368] Power Loss: 15.1621
[2025-10-22 22:09:44] Epoch 0 [600/18368] Power Loss: 14.3371
[2025-10-22 22:09:44] Epoch 0 [700/18368] Power Loss: 13.7263
[2025-10-22 22:09:45] Epoch 0 [800/18368] Power Loss: 13.2761
[2025-10-22 22:09:45] Epoch 0 [900/18368] Power Loss: 12.9113
[2025-10-22 22:09:45] Epoch 0 [1000/18368] Power Loss: 12.6164
[2025-10-22 22:09:46] Epoch 0 [1100/18368] Power Loss: 12.3836
[2025-10-22 22:09:46] Epoch 0 [1200/18368] Power Loss: 12.1752
[2025-10-22 22:09:46] Epoch 0 [1300/18368] Power Loss: 12.0091
[2025-10-22 22:09:47] Epoch 0 [1400/18368] Power Loss: 11.8503
[2025-10-22 22:09:47] Epoch 0 [1500/18368] Power Loss: 11.7203
[2025-10-22 22:09:47] Epoch 0 [1600/18368] Power Loss: 11.5921
[2025-10-22 22:09:48] Epoch 0 [1700/18368] Power Loss: 11.4974
[2025-10-22 22:09:48] Epoch 0 [1800/18368] Power Loss: 11.3988
[2025-10-22 22:09:49] Epoch 0 [1900/18368] Power Loss: 11.3086
[2025-10-22 22:09:49] Epoch 0 [2000/18368] Power Loss: 11.2261
[2025-10-22 22:09:49] Epoch 0 [2100/18368] Power Loss: 11.1626
[2025-10-22 22:09:50] Epoch 0 [2200/18368] Power Loss: 11.0924
[2025-10-22 22:09:50] Epoch 0 [2300/18368] Power Loss: 11.0355
[2025-10-22 22:09:50] Epoch 0 [2400/18368] Power Loss: 10.9748
[2025-10-22 22:09:51] Epoch 0 [2500/18368] Power Loss: 10.9194
[2025-10-22 22:09:51] Epoch 0 [2600/18368] Power Loss: 10.8646
[2025-10-22 22:09:52] Epoch 0 [2700/18368] Power Loss: 10.8132
[2025-10-22 22:09:52] Epoch 0 [2800/18368] Power Loss: 10.7674
[2025-10-22 22:09:52] Epoch 0 [2900/18368] Power Loss: 10.7228
[2025-10-22 22:09:53] Epoch 0 [3000/18368] Power Loss: 10.6767
[2025-10-22 22:09:53] Epoch 0 [3100/18368] Power Loss: 10.6327
[2025-10-22 22:09:53] Epoch 0 [3200/18368] Power Loss: 10.5911
[2025-10-22 22:09:54] Epoch 0 [3300/18368] Power Loss: 10.5515
[2025-10-22 22:09:54] Epoch 0 [3400/18368] Power Loss: 10.5101
[2025-10-22 22:09:54] Epoch 0 [3500/18368] Power Loss: 10.4703
[2025-10-22 22:09:55] Epoch 0 [3600/18368] Power Loss: 10.4328
[2025-10-22 22:09:55] Epoch 0 [3700/18368] Power Loss: 10.3943
[2025-10-22 22:09:56] Epoch 0 [3800/18368] Power Loss: 10.3550
[2025-10-22 22:09:56] Epoch 0 [3900/18368] Power Loss: 10.3179
[2025-10-22 22:09:56] Epoch 0 [4000/18368] Power Loss: 10.2831
[2025-10-22 22:09:57] Epoch 0 [4100/18368] Power Loss: 10.2505
[2025-10-22 22:09:57] Epoch 0 [4200/18368] Power Loss: 10.2176
[2025-10-22 22:09:57] Epoch 0 [4300/18368] Power Loss: 10.1876
[2025-10-22 22:09:58] Epoch 0 [4400/18368] Power Loss: 10.1590
[2025-10-22 22:09:58] Epoch 0 [4500/18368] Power Loss: 10.1313
[2025-10-22 22:09:58] Epoch 0 [4600/18368] Power Loss: 10.1057
[2025-10-22 22:09:59] Epoch 0 [4700/18368] Power Loss: 10.0790
[2025-10-22 22:09:59] Epoch 0 [4800/18368] Power Loss: 10.0521
[2025-10-22 22:10:00] Epoch 0 [4900/18368] Power Loss: 10.0276
[2025-10-22 22:10:00] Epoch 0 [5000/18368] Power Loss: 10.0037
[2025-10-22 22:10:00] Epoch 0 [5100/18368] Power Loss: 9.9810
[2025-10-22 22:10:01] Epoch 0 [5200/18368] Power Loss: 9.9577
[2025-10-22 22:10:01] Epoch 0 [5300/18368] Power Loss: 9.9355
[2025-10-22 22:10:01] Epoch 0 [5400/18368] Power Loss: 9.9153
[2025-10-22 22:10:02] Epoch 0 [5500/18368] Power Loss: 9.8962
[2025-10-22 22:10:02] Epoch 0 [5600/18368] Power Loss: 9.8764
[2025-10-22 22:10:02] Epoch 0 [5700/18368] Power Loss: 9.8581
