Epoch 0/100: train_loss=104.1655, val_loss=12.2125
Epoch 1/100: train_loss=53.6943, val_loss=10.4860
Epoch 2/100: train_loss=43.7070, val_loss=9.2938
Epoch 3/100: train_loss=37.0525, val_loss=9.0780
Epoch 4/100: train_loss=31.6300, val_loss=9.2704
Epoch 5/100: train_loss=29.1369, val_loss=10.5524
Epoch 6/100: train_loss=28.5429, val_loss=11.4686
Epoch 7/100: train_loss=27.7737, val_loss=13.0058
Epoch 8/100: train_loss=27.3232, val_loss=13.5022
Epoch 9/100: train_loss=27.2232, val_loss=14.3112
Epoch 10/100: train_loss=26.8112, val_loss=14.4121
Epoch 11/100: train_loss=26.3402, val_loss=14.9057
Epoch 12/100: train_loss=26.2953, val_loss=15.4069
Epoch 13/100: train_loss=26.2668, val_loss=15.9388
Epoch 14/100: train_loss=26.2309, val_loss=15.9357
Epoch 15/100: train_loss=26.2197, val_loss=16.0361
Epoch 16/100: train_loss=26.0946, val_loss=16.3493
Epoch 17/100: train_loss=26.0489, val_loss=16.6797
Epoch 18/100: train_loss=26.0315, val_loss=16.4870
