Epoch 0/100: train_loss=8.0563, val_loss=2.2463
Epoch 1/100: train_loss=5.6200, val_loss=2.2805
Epoch 2/100: train_loss=5.0959, val_loss=2.0807
Epoch 3/100: train_loss=4.7667, val_loss=2.0404
Epoch 4/100: train_loss=4.4623, val_loss=2.0529
Epoch 5/100: train_loss=4.2081, val_loss=2.0122
Epoch 6/100: train_loss=4.0722, val_loss=2.0526
Epoch 7/100: train_loss=3.9579, val_loss=2.1153
Epoch 8/100: train_loss=3.8564, val_loss=2.1345
Epoch 9/100: train_loss=3.7647, val_loss=2.1437
Epoch 10/100: train_loss=3.6886, val_loss=2.2005
Epoch 11/100: train_loss=3.6236, val_loss=2.1873
Epoch 12/100: train_loss=3.5595, val_loss=2.1703
Epoch 13/100: train_loss=3.5268, val_loss=2.2075
Epoch 14/100: train_loss=3.4992, val_loss=2.1959
Epoch 15/100: train_loss=3.4752, val_loss=2.2007
Epoch 16/100: train_loss=3.4503, val_loss=2.2222
Epoch 17/100: train_loss=3.4289, val_loss=2.2717
Epoch 18/100: train_loss=3.4027, val_loss=2.2275
Epoch 19/100: train_loss=3.3898, val_loss=2.2165
Epoch 20/100: train_loss=3.3761, val_loss=2.2208
